2018-10-03T12:36:23,096 | INFO |  | main | linear_20181003.123623.069: creating the storage driver instance for the type "s3"
2018-10-03T12:36:23,537 | DEBUG |  | fibers-executor-#2 | linear_20181003.123623.069: execute the HTTP request using the channel 1896155533 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:23,609 | DEBUG |  | ioWorker#3 | linear_20181003.123623.069: new unpooled connection 443030032, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:23,610 | DEBUG |  | fibers-executor-#2 | linear_20181003.123623.069: execute the HTTP request using the channel 443030032 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:23,619 | DEBUG |  | ioWorker#4 | linear_20181003.123623.069: new unpooled connection 1351494461, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:23,620 | DEBUG |  | fibers-executor-#2 | linear_20181003.123623.069: execute the HTTP request using the channel 1351494461 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:24,179 | DEBUG |  | fibers-executor-#2 | linear_20181003.123623.069: count limit reached, 200 results >= 200 limit
2018-10-03T12:36:24,193 | INFO |  | fibers-executor-#2 | linear_20181003.123623.069: done due to max count (200) done state
2018-10-03T12:36:24,193 | DEBUG |  | fibers-executor-#4 | linear_20181003.123623.069: count limit reached, 200 results >= 200 limit
2018-10-03T12:36:24,193 | INFO |  | fibers-executor-#4 | linear_20181003.123623.069: done due to max count (200) done state
2018-10-03T12:36:24,197 | DEBUG |  | main | storage/driver/1/amzs3/363397863: shutdown the I/O executor
2018-10-03T12:36:24,202 | DEBUG |  | main | linear_20181003.123623.069: storage driver storage/driver/1/amzs3/363397863 stopped
2018-10-03T12:36:24,202 | DEBUG |  | main | linear_20181003.123623.069: final results processing start
2018-10-03T12:36:24,202 | DEBUG |  | main | linear_20181003.123623.069: final results processing done
2018-10-03T12:36:24,203 | DEBUG |  | main | linear_20181003.123623.069: poisoned the items output
2018-10-03T12:36:24,203 | DEBUG |  | main | linear_20181003.123623.069: interrupted the load step context
2018-10-03T12:36:24,205 | DEBUG |  | main | Metrics context "MetricsContextImpl(CREATE-1x1@linear_20181003.123623.069)" unregistered
2018-10-03T12:36:24,209 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-1x1@linear_20181003.123623.069)" unregistered
2018-10-03T12:36:24,213 | DEBUG |  | main | storage/driver/1/amzs3/363397863: closed
2018-10-03T12:36:24,215 | DEBUG |  | main | linear_20181003.123623.069: closed the load step context
2018-10-03T12:36:24,215 | DEBUG |  | main | linear_20181003.123623.069: step slice "com.emc.mongoose.load.step.linear.LinearLoadStepLocal@71a9b4c7" closed
2018-10-03T12:36:24,215 | DEBUG |  | main | linear_20181003.123623.069: closed all 1 step slices
2018-10-03T12:36:24,219 | INFO |  | collectItemOutputFileWorker#1 | "list2.csv" <- transferred 0B of the output items data...
2018-10-03T12:36:24,221 | INFO |  | main | "list2.csv" <- transferred 0B of the output items data
