2018-10-03T12:39:40,576 | INFO |  | main | linear_20181003.123940.542: creating the storage driver instance for the type "s3"
2018-10-03T12:39:41,098 | DEBUG |  | fibers-executor-#4 | linear_20181003.123940.542: execute the HTTP request using the channel -679475873 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:41,126 | DEBUG |  | ioWorker#4 | linear_20181003.123940.542: new unpooled connection -1419131127, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:41,126 | DEBUG |  | fibers-executor-#4 | linear_20181003.123940.542: execute the HTTP request using the channel -1419131127 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:41,859 | DEBUG |  | fibers-executor-#1 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,860 | DEBUG |  | fibers-executor-#4 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,860 | INFO |  | fibers-executor-#4 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,865 | DEBUG |  | fibers-executor-#4 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,865 | INFO |  | fibers-executor-#4 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,866 | DEBUG |  | fibers-executor-#4 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,866 | INFO |  | fibers-executor-#4 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,867 | DEBUG |  | fibers-executor-#3 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,867 | INFO |  | fibers-executor-#3 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,869 | DEBUG |  | fibers-executor-#3 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,869 | INFO |  | fibers-executor-#3 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,871 | INFO |  | fibers-executor-#1 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,873 | DEBUG |  | fibers-executor-#2 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,873 | INFO |  | fibers-executor-#2 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,894 | DEBUG |  | fibers-executor-#3 | linear_20181003.123940.542: count limit reached, 200 results >= 200 limit
2018-10-03T12:39:41,894 | INFO |  | fibers-executor-#3 | linear_20181003.123940.542: done due to max count (200) done state
2018-10-03T12:39:41,903 | DEBUG |  | main | storage/driver/1/amzs3/443110940: shutdown the I/O executor
2018-10-03T12:39:41,910 | DEBUG |  | main | linear_20181003.123940.542: storage driver storage/driver/1/amzs3/443110940 stopped
2018-10-03T12:39:41,910 | DEBUG |  | main | linear_20181003.123940.542: final results processing start
2018-10-03T12:39:41,910 | DEBUG |  | main | linear_20181003.123940.542: final results processing done
2018-10-03T12:39:41,910 | DEBUG |  | main | linear_20181003.123940.542: poisoned the items output
2018-10-03T12:39:41,910 | DEBUG |  | main | linear_20181003.123940.542: interrupted the load step context
2018-10-03T12:39:41,913 | DEBUG |  | main | Metrics context "MetricsContextImpl(CREATE-1x1@linear_20181003.123940.542)" unregistered
2018-10-03T12:39:41,914 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-1x1@linear_20181003.123940.542)" unregistered
2018-10-03T12:39:41,915 | DEBUG |  | main | storage/driver/1/amzs3/443110940: closed
2018-10-03T12:39:41,915 | DEBUG |  | main | linear_20181003.123940.542: closed the load step context
2018-10-03T12:39:41,915 | DEBUG |  | main | linear_20181003.123940.542: step slice "com.emc.mongoose.load.step.linear.LinearLoadStepLocal@4362d7df" closed
2018-10-03T12:39:41,915 | DEBUG |  | main | linear_20181003.123940.542: closed all 1 step slices
2018-10-03T12:39:41,925 | INFO |  | collectItemOutputFileWorker#1 | "list2.csv" <- transferred 0B of the output items data...
2018-10-03T12:39:41,931 | INFO |  | main | "list2.csv" <- transferred 0B of the output items data
