2018-10-03T12:29:48,590 | INFO |  | main | linear_20181003.122948.550: creating the storage driver instance for the type "s3"
2018-10-03T12:29:49,702 | DEBUG |  | main | linear_20181003.122948.550: final results processing done
2018-10-03T12:29:49,702 | DEBUG |  | main | linear_20181003.122948.550: poisoned the items output
2018-10-03T12:29:49,702 | DEBUG |  | main | linear_20181003.122948.550: interrupted the load step context
2018-10-03T12:29:49,704 | DEBUG |  | main | Metrics context "MetricsContextImpl(CREATE-1x1@linear_20181003.122948.550)" unregistered
2018-10-03T12:29:49,705 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(CREATE-1x1@linear_20181003.122948.550)" unregistered
2018-10-03T12:29:49,708 | DEBUG |  | main | storage/driver/1/amzs3/739737502: closed
2018-10-03T12:29:49,708 | DEBUG |  | main | linear_20181003.122948.550: closed the load step context
2018-10-03T12:29:49,709 | DEBUG |  | main | linear_20181003.122948.550: step slice "com.emc.mongoose.load.step.linear.LinearLoadStepLocal@4c4d362a" closed
2018-10-03T12:29:49,709 | DEBUG |  | main | linear_20181003.122948.550: closed all 1 step slices
2018-10-03T12:29:49,722 | INFO |  | collectItemOutputFileWorker#1 | "list2.csv" <- transferred 0B of the output items data...
2018-10-03T12:29:49,724 | INFO |  | main | "list2.csv" <- transferred 0B of the output items data
