2018-10-03T12:36:24,253 | INFO |  | main | linear_20181003.123624.228: creating the storage driver instance for the type "s3"
2018-10-03T12:36:46,450 | DEBUG |  | main | storage/driver/1/amzs3/718512571: shutdown the I/O executor
2018-10-03T12:36:46,460 | DEBUG |  | main | linear_20181003.123624.228: storage driver storage/driver/1/amzs3/718512571 stopped
2018-10-03T12:36:46,460 | DEBUG |  | main | linear_20181003.123624.228: final results processing start
2018-10-03T12:36:46,460 | DEBUG |  | main | linear_20181003.123624.228: final results processing done
2018-10-03T12:36:46,460 | INFO |  | main | linear_20181003.123624.228: please wait while performing 200 I/O results output...
2018-10-03T12:36:46,548 | INFO |  | main | linear_20181003.123624.228: I/O results output done
2018-10-03T12:36:46,571 | DEBUG |  | main | linear_20181003.123624.228: poisoned the items output
2018-10-03T12:36:46,572 | DEBUG |  | main | linear_20181003.123624.228: interrupted the load step context
2018-10-03T12:36:46,583 | DEBUG |  | main | Metrics context "MetricsContextImpl(UPDATE-1x1@linear_20181003.123624.228)" unregistered
2018-10-03T12:36:46,585 | DEBUG |  | main | Metrics context "DistributedMetricsContextImpl(UPDATE-1x1@linear_20181003.123624.228)" unregistered
2018-10-03T12:36:46,586 | DEBUG |  | main | storage/driver/1/amzs3/718512571: closed
2018-10-03T12:36:46,587 | DEBUG |  | main | linear_20181003.123624.228: closed the load step context
2018-10-03T12:36:46,587 | DEBUG |  | main | linear_20181003.123624.228: step slice "com.emc.mongoose.load.step.linear.LinearLoadStepLocal@2449cff7" closed
2018-10-03T12:36:46,587 | DEBUG |  | main | linear_20181003.123624.228: closed all 1 step slices
2018-10-03T12:36:46,592 | INFO |  | collectItemOutputFileWorker#2 | "list1.csv" <- transferred 0B of the output items data...
2018-10-03T12:36:46,592 | INFO |  | main | "list1.csv" <- transferred 0B of the output items data
