2018-10-02T14:03:30,743 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,812 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,812 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,812 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,824 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,824 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,824 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,824 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,824 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,824 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,837 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,837 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,838 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,838 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,838 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,838 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,846 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,846 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,847 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,847 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-02T14:03:30,847 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-02T14:03:30,847 | INFO | o.a.h.i.e.RetryExec | Test worker | Retrying request to {}->unix://localhost:80
2018-10-03T12:29:47,677 | INFO | o.e.j.u.log | main | Logging initialized @798ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:29:47,747 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:29:47,769 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@5f16132a{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:29:47,769 | INFO | o.e.j.s.Server | main | Started @891ms
2018-10-03T12:36:22,096 | INFO | o.e.j.u.log | main | Logging initialized @887ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:36:22,191 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:36:22,219 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@5f16132a{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:36:22,219 | INFO | o.e.j.s.Server | main | Started @1012ms
2018-10-03T12:39:01,553 | INFO | o.e.j.u.log | main | Logging initialized @1225ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:39:01,714 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:39:01,773 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@3be96dc0{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:39:01,773 | INFO | o.e.j.s.Server | main | Started @1447ms
2018-10-03T12:39:39,689 | INFO | o.e.j.u.log | main | Logging initialized @795ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:39:39,775 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:39:39,800 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@625732{/,null,AVAILABLE}
2018-10-03T12:39:39,807 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:39:39,808 | INFO | o.e.j.s.Server | main | Started @915ms
2018-10-03T12:40:31,592 | INFO | o.e.j.u.log | main | Logging initialized @784ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:40:31,697 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:40:31,730 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@625732{/,null,AVAILABLE}
2018-10-03T12:40:31,739 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:40:31,739 | INFO | o.e.j.s.Server | main | Started @932ms
2018-10-03T12:40:43,002 | INFO | o.e.j.u.log | main | Logging initialized @833ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:40:43,087 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:40:43,109 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@625732{/,null,AVAILABLE}
2018-10-03T12:40:43,122 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:40:43,122 | INFO | o.e.j.s.Server | main | Started @953ms
2018-10-03T12:40:54,220 | INFO | o.e.j.u.log | main | Logging initialized @768ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:40:54,303 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:40:54,327 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@625732{/,null,AVAILABLE}
2018-10-03T12:40:54,336 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:40:54,336 | INFO | o.e.j.s.Server | main | Started @884ms
2018-10-03T12:48:11,916 | INFO | o.e.j.u.log | main | Logging initialized @875ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:48:12,011 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:48:12,034 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@625732{/,null,AVAILABLE}
2018-10-03T12:48:12,042 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:48:12,042 | INFO | o.e.j.s.Server | main | Started @1001ms
2018-10-03T12:48:38,314 | INFO | o.e.j.u.log | main | Logging initialized @890ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T12:48:38,403 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T12:48:38,427 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@625732{/,null,AVAILABLE}
2018-10-03T12:48:38,435 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:48:38,435 | INFO | o.e.j.s.Server | main | Started @1013ms
2018-10-03T12:49:02,883 | INFO | o.e.j.s.AbstractConnector | main | Stopped ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T12:49:02,886 | INFO | o.e.j.s.h.ContextHandler | main | Stopped o.e.j.s.ServletContextHandler@625732{/,null,UNAVAILABLE}
2018-10-03T13:05:34,293 | INFO | o.e.j.u.log | main | Logging initialized @823ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-03T13:05:34,405 | INFO | o.e.j.s.Server | main | jetty-9.4.z-SNAPSHOT; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-03T13:05:34,439 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@625732{/,null,AVAILABLE}
2018-10-03T13:05:34,447 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6bedbc4d{HTTP/1.1,[http/1.1]}{0.0.0.0:1234}
2018-10-03T13:05:34,447 | INFO | o.e.j.s.Server | main | Started @979ms
2018-10-15T12:46:58,049 | INFO | o.e.j.u.log | main | Logging initialized @1873ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T12:46:58,258 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T12:46:58,349 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@5340477f{/,null,AVAILABLE}
2018-10-15T12:46:58,372 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@3b8b8bd6{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T12:46:58,373 | INFO | o.e.j.s.Server | main | Started @2210ms
2018-10-15T12:49:44,722 | INFO | o.e.j.u.log | main | Logging initialized @1672ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T12:49:44,868 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T12:49:44,971 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@609e8838{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T12:49:44,973 | INFO | o.e.j.s.Server | main | Started @1924ms
2018-10-15T12:50:04,666 | INFO | o.e.j.u.log | main | Logging initialized @1720ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T12:50:04,765 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T12:50:04,818 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@609e8838{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T12:50:04,818 | INFO | o.e.j.s.Server | main | Started @1874ms
2018-10-15T12:50:41,103 | INFO | o.e.j.u.log | main | Logging initialized @1660ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T12:50:41,374 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T12:50:41,503 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@5340477f{/,null,AVAILABLE}
2018-10-15T12:50:41,520 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@b70d6e5{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T12:50:41,520 | INFO | o.e.j.s.Server | main | Started @2080ms
2018-10-15T12:55:28,375 | INFO | o.e.j.u.log | main | Logging initialized @1871ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T12:55:28,538 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T12:55:28,628 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@5340477f{/,null,AVAILABLE}
2018-10-15T12:55:28,641 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@60d51bf3{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T12:55:28,641 | INFO | o.e.j.s.Server | main | Started @2140ms
2018-10-15T12:56:34,787 | INFO | o.e.j.u.log | main | Logging initialized @1799ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T12:56:34,989 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T12:56:35,049 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@5340477f{/,null,AVAILABLE}
2018-10-15T12:56:35,070 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@2254127a{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T12:56:35,070 | INFO | o.e.j.s.Server | main | Started @2085ms
2018-10-15T12:58:50,962 | INFO | o.e.j.u.log | main | Logging initialized @1803ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T12:58:51,097 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T12:58:51,203 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@5340477f{/,null,AVAILABLE}
2018-10-15T12:58:51,220 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@3519b0ee{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T12:58:51,220 | INFO | o.e.j.s.Server | main | Started @2062ms
2018-10-15T13:00:16,570 | INFO | o.e.j.u.log | main | Logging initialized @1754ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:00:16,725 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:00:16,788 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:00:16,799 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@1ca460cb{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:00:16,799 | INFO | o.e.j.s.Server | main | Started @1984ms
2018-10-15T13:01:09,875 | INFO | o.e.j.u.log | main | Logging initialized @1656ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:01:09,986 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:01:10,053 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:01:10,074 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@30201fbc{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:01:10,074 | INFO | o.e.j.s.Server | main | Started @1860ms
2018-10-15T13:02:27,536 | INFO | o.e.j.u.log | main | Logging initialized @1700ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:02:27,659 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:02:27,723 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:02:27,739 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6ac55527{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:02:27,740 | INFO | o.e.j.s.Server | main | Started @1904ms
2018-10-15T13:02:52,903 | INFO | o.e.j.u.log | main | Logging initialized @1557ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:02:53,038 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:02:53,095 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:02:53,111 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@5bf6a17{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:02:53,112 | INFO | o.e.j.s.Server | main | Started @1767ms
2018-10-15T13:03:16,069 | INFO | o.e.j.u.log | main | Logging initialized @1499ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:03:16,235 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:03:16,316 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:03:16,334 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6f485070{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:03:16,334 | INFO | o.e.j.s.Server | main | Started @1769ms
2018-10-15T13:06:07,099 | INFO | o.e.j.u.log | main | Logging initialized @2439ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:06:07,234 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:06:07,289 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@51df223b{/,null,AVAILABLE}
